shell (project page, mobile) requests: 49

=== round 1: tap thread "1303 target" (thr_thnzrmgehr) in sidebar: 20 /api/v1/ requests (12 distinct URLs; dev StrictMode double-fires); last response at +1957ms ===
start     latency  status
+  206ms     26ms  200  GET /api/v1/threads/thr_thnzrmgehr/default-execution-options
+  208ms     24ms  200  GET /api/v1/threads/thr_thnzrmgehr/queued-messages
+  208ms     25ms  200  GET /api/v1/threads/thr_thnzrmgehr/prompt-history?
+  209ms      ?ms  ?  GET /api/v1/system/execution-options?environmentId=env_iaxcfu77hf&providerId=codex
+  210ms     24ms  200  GET /api/v1/threads?projectId=proj_4r7awx3ed2&sourceThreadId=thr_thnzrmgehr&originKind=fork&archived=false
+  210ms      ?ms  ?  GET /api/v1/threads/thr_thnzrmgehr/tabs
+  211ms     24ms  200  GET /api/v1/threads/thr_thnzrmgehr?include=environment%2Chost
+  211ms     24ms  200  GET /api/v1/threads/thr_thnzrmgehr/interactions
+  211ms      ?ms  ?  GET /api/v1/threads/thr_thnzrmgehr/thread-storage/files?limit=1000
+  211ms      ?ms  ?  GET /api/v1/threads/thr_thnzrmgehr/timeline?
+  211ms     24ms  200  GET /api/v1/threads/thr_thnzrmgehr/default-execution-options
+  212ms     24ms  200  GET /api/v1/threads/thr_thnzrmgehr/queued-messages
+  213ms     23ms  200  GET /api/v1/threads/thr_thnzrmgehr/prompt-history?
+  213ms    409ms  200  GET /api/v1/system/execution-options?environmentId=env_iaxcfu77hf&providerId=codex
+  215ms     23ms  200  GET /api/v1/threads?projectId=proj_4r7awx3ed2&sourceThreadId=thr_thnzrmgehr&originKind=fork&archived=false
+  215ms     23ms  200  GET /api/v1/threads/thr_thnzrmgehr/tabs
+  215ms     23ms  200  GET /api/v1/threads/thr_thnzrmgehr/thread-storage/files?limit=1000
+  215ms     23ms  200  GET /api/v1/threads/thr_thnzrmgehr/timeline?
+  395ms    256ms  200  GET /api/v1/environments/env_iaxcfu77hf/status?mergeBaseBranch=main
+  395ms   1562ms  200  GET /api/v1/environments/env_iaxcfu77hf/pull-request

=== round 2: tap thread "1303 target" (thr_thnzrmgehr) in sidebar: 18 /api/v1/ requests (10 distinct URLs; dev StrictMode double-fires); last response at +285ms ===
start     latency  status
+  152ms     21ms  200  GET /api/v1/threads/thr_thnzrmgehr/default-execution-options
+  152ms     21ms  200  GET /api/v1/threads/thr_thnzrmgehr/queued-messages
+  152ms      ?ms  ?  GET /api/v1/threads/thr_thnzrmgehr/tabs
+  152ms     24ms  200  GET /api/v1/threads/thr_thnzrmgehr
+  152ms     25ms  200  GET /api/v1/threads/thr_thnzrmgehr/interactions
+  153ms      ?ms  ?  GET /api/v1/threads/thr_thnzrmgehr/thread-storage/files?limit=1000
+  155ms      ?ms  ?  GET /api/v1/threads?projectId=proj_4r7awx3ed2&archived=false
+  155ms      ?ms  ?  GET /api/v1/threads/thr_thnzrmgehr/timeline?afterSequence=18
+  155ms      ?ms  ?  GET /api/v1/environments/env_iaxcfu77hf
+  155ms      ?ms  ?  GET /api/v1/environments/env_iaxcfu77hf/status?mergeBaseBranch=main
+  155ms     22ms  200  GET /api/v1/threads/thr_thnzrmgehr/default-execution-options
+  155ms     22ms  200  GET /api/v1/threads/thr_thnzrmgehr/queued-messages
+  155ms     22ms  200  GET /api/v1/threads/thr_thnzrmgehr/tabs
+  155ms     24ms  200  GET /api/v1/threads/thr_thnzrmgehr/thread-storage/files?limit=1000
+  155ms     22ms  200  GET /api/v1/threads?projectId=proj_4r7awx3ed2&archived=false
+  155ms     22ms  200  GET /api/v1/threads/thr_thnzrmgehr/timeline?afterSequence=18
+  156ms     21ms  200  GET /api/v1/environments/env_iaxcfu77hf
+  156ms    129ms  200  GET /api/v1/environments/env_iaxcfu77hf/status?mergeBaseBranch=main
