round,maxSeq,responseBytes,rows,serverRssKb
1,9003,107927,100,339024
2,9004,108283,101,378048
3,9005,108639,102,377456
4,9006,108995,103,377616
5,9007,109351,104,377824
6,9008,109707,105,378432
7,9009,110063,106,378688
8,9010,110419,107,378944
9,9011,110775,108,379696
10,9012,111133,109,379728
11,9013,111491,110,379904
12,9014,111849,111,380048
13,9015,112207,112,384160
14,9016,112565,113,385712
15,9017,112923,114,387248
16,9018,113281,115,389152
17,9019,113639,116,390416
18,9020,113997,117,392768
19,9021,114355,118,394032
20,9022,114713,119,400416
21,9023,115071,120,401312
22,9024,115429,121,402768
23,9025,115787,122,404240
24,9026,116145,123,405744
25,9027,116503,124,407232
26,9028,116861,125,408640
27,9029,117219,126,410080
28,9030,117577,127,411632
29,9031,117935,128,413088
30,9032,118293,129,414608
31,9033,118651,130,416016
32,9034,119009,131,417504
33,9035,119367,132,418928
34,9036,119725,133,420432
35,9037,120083,134,421792
36,9038,120441,135,423312
37,9039,120799,136,424768
38,9040,121157,137,426288
39,9041,121515,138,427696
40,9042,121873,139,429296
41,9043,122231,140,430752
42,9044,122589,141,432208
43,9045,122947,142,433680
44,9046,123305,143,427520
45,9047,123663,144,428944
46,9048,124021,145,430464
47,9049,124379,146,431904
48,9050,124737,147,433344
49,9051,125095,148,434880
50,9052,125453,149,436352
51,9053,125811,150,436864
52,9054,126169,151,438320
53,9055,126527,152,439824
54,9056,126885,153,441328
55,9057,127243,154,442768
56,9058,127601,155,444272
57,9059,127959,156,445744
58,9060,128317,157,447216
59,9061,128675,158,448976
60,9062,129033,159,450432
61,9063,129391,160,451792
62,9064,129749,161,453424
63,9065,130107,162,454896
64,9066,130465,163,456288
65,9067,130823,164,458000
66,9068,131181,165,459424
67,9069,131539,166,460928
68,9070,131897,167,462384
69,9071,132255,168,463824
70,9072,132613,169,465280
71,9073,132971,170,466848
72,9074,133329,171,468304
73,9075,133687,172,469808
74,9076,134045,173,471248
75,9077,134403,174,472832
76,9078,134761,175,474384
77,9079,135119,176,475920
78,9080,135477,177,477424
79,9081,135835,178,478880
80,9082,136193,179,480336
81,9083,136551,180,481840
82,9084,136909,181,483408
83,9085,137267,182,484912
84,9086,137625,183,486432
85,9087,137983,184,488048
86,9088,138341,185,489520
87,9089,138699,186,491120
88,9090,139057,187,493584
89,9091,139415,188,494832
90,9092,139773,189,496400
91,9093,140131,190,497920
92,9094,140489,191,499424
93,9095,140847,192,500976
94,9096,141205,193,502640
95,9097,141563,194,504096
96,9098,141921,195,505584
97,9099,142279,196,507264
98,9100,142637,197,508784
99,9101,142995,198,510320
100,9102,143355,199,511872
