round,maxSeq,responseBytes,rows,serverRssKb
1,9003,107927,100,339664
2,9004,108283,101,342624
3,9005,108639,102,349584
4,9006,108995,103,359072
5,9007,109351,104,361824
6,9008,109707,105,361840
7,9009,110063,106,362176
8,9010,110419,107,362448
9,9011,110775,108,364080
10,9012,111133,109,364624
11,9013,111491,110,371744
12,9014,111849,111,375040
13,9015,112207,112,375952
14,9016,112565,113,376192
15,9017,112923,114,376112
16,9018,113281,115,376128
17,9019,113639,116,376128
18,9020,113997,117,376128
19,9021,114355,118,376512
20,9022,114713,119,377728
21,9023,115071,120,378608
22,9024,115429,121,378688
23,9025,115787,122,379616
24,9026,116145,123,380928
25,9027,116503,124,382352
26,9028,116861,125,382592
27,9029,117219,126,382688
28,9030,117577,127,382688
29,9031,117935,128,382688
30,9032,118293,129,382720
31,9033,118651,130,382720
32,9034,119009,131,382832
33,9035,119367,132,382832
34,9036,119725,133,382848
35,9037,120083,134,382864
36,9038,120441,135,382912
37,9039,120799,136,383904
38,9040,121157,137,384176
39,9041,121515,138,384192
40,9042,121873,139,384208
41,9043,122231,140,384208
42,9044,122589,141,384208
43,9045,122947,142,384256
44,9046,123305,143,384256
45,9047,123663,144,384256
46,9048,124021,145,384256
47,9049,124379,146,384400
48,9050,124737,147,385120
49,9051,125095,148,386544
50,9052,125453,149,388016
51,9053,125811,150,389488
52,9054,126169,151,389744
53,9055,126527,152,389776
54,9056,126885,153,389792
55,9057,127243,154,389792
56,9058,127601,155,389792
57,9059,127959,156,389792
58,9060,128317,157,389792
59,9061,128675,158,389792
60,9062,129033,159,389792
61,9063,129391,160,389808
62,9064,129749,161,389808
63,9065,130107,162,389808
64,9066,130465,163,390848
65,9067,130823,164,392528
66,9068,131181,165,394016
67,9069,131539,166,394288
68,9070,131897,167,394320
69,9071,132255,168,394336
70,9072,132613,169,394352
71,9073,132971,170,394368
72,9074,133329,171,394352
73,9075,133687,172,394352
74,9076,134045,173,394352
75,9077,134403,174,394352
76,9078,134761,175,394352
77,9079,135119,176,394352
78,9080,135477,177,394400
79,9081,135835,178,394848
80,9082,136193,179,395472
81,9083,136551,180,395744
82,9084,136909,181,395744
83,9085,137267,182,395744
84,9086,137625,183,395760
85,9087,137983,184,395904
86,9088,138341,185,395888
87,9089,138699,186,395920
88,9090,139057,187,395920
89,9091,139415,188,395904
90,9092,139773,189,395904
91,9093,140131,190,395904
92,9094,140489,191,396000
93,9095,140847,192,396720
94,9096,141205,193,398256
95,9097,141563,194,399584
96,9098,141921,195,399872
97,9099,142279,196,399872
98,9100,142637,197,399856
99,9101,142995,198,399856
100,9102,143355,199,399872
