round,maxSeq,responseBytes,rows,serverRssKb
1,9003,107927,100,351136
2,9004,108283,101,355824
3,9005,108639,102,357872
4,9006,108995,103,368800
5,9007,109351,104,373616
6,9008,109707,105,373936
7,9009,110063,106,374048
8,9010,110419,107,375024
9,9011,110775,108,379792
10,9012,111133,109,383664
11,9013,111491,110,385808
12,9014,111849,111,388416
13,9015,112207,112,389552
14,9016,112565,113,391280
15,9017,112923,114,393840
16,9018,113281,115,395632
17,9019,113639,116,396016
18,9020,113997,117,396416
19,9021,114355,118,396448
20,9022,114713,119,396464
21,9023,115071,120,396480
22,9024,115429,121,396528
23,9025,115787,122,396608
24,9026,116145,123,396656
25,9027,116503,124,396752
26,9028,116861,125,396800
27,9029,117219,126,396880
28,9030,117577,127,396864
29,9031,117935,128,397104
30,9032,118293,129,397168
31,9033,118651,130,397184
32,9034,119009,131,397184
33,9035,119367,132,397184
34,9036,119725,133,397200
35,9037,120083,134,397216
36,9038,120441,135,397216
37,9039,120799,136,397312
38,9040,121157,137,397360
39,9041,121515,138,397376
40,9042,121873,139,397392
41,9043,122231,140,397152
42,9044,122589,141,397408
43,9045,122947,142,397408
44,9046,123305,143,397440
45,9047,123663,144,397440
46,9048,124021,145,397456
47,9049,124379,146,397472
48,9050,124737,147,397504
49,9051,125095,148,397504
50,9052,125453,149,397520
51,9053,125811,150,397520
52,9054,126169,151,397520
53,9055,126527,152,397520
54,9056,126885,153,397520
55,9057,127243,154,398288
56,9058,127601,155,399664
57,9059,127959,156,399920
58,9060,128317,157,399920
59,9061,128675,158,399984
60,9062,129033,159,399984
61,9063,129391,160,400000
62,9064,129749,161,400000
63,9065,130107,162,400304
64,9066,130465,163,400320
65,9067,130823,164,400320
66,9068,131181,165,400320
67,9069,131539,166,400336
68,9070,131897,167,400400
69,9071,132255,168,400432
70,9072,132613,169,400576
71,9073,132971,170,401008
72,9074,133329,171,401280
73,9075,133687,172,401280
74,9076,134045,173,401280
75,9077,134403,174,401280
76,9078,134761,175,401328
77,9079,135119,176,401328
78,9080,135477,177,401328
79,9081,135835,178,401376
80,9082,136193,179,401392
81,9083,136551,180,401408
82,9084,136909,181,401440
83,9085,137267,182,401504
84,9086,137625,183,401568
85,9087,137983,184,401568
86,9088,138341,185,401856
87,9089,138699,186,402192
88,9090,139057,187,402192
89,9091,139415,188,402208
90,9092,139773,189,402208
91,9093,140131,190,402208
92,9094,140489,191,402208
93,9095,140847,192,402208
94,9096,141205,193,402208
95,9097,141563,194,402208
96,9098,141921,195,402208
97,9099,142279,196,402208
98,9100,142637,197,402208
99,9101,142995,198,402208
100,9102,143355,199,402336
