round,maxSeq,responseBytes,rows,serverRssKb
1,9003,107927,100,365584
2,9004,108283,101,368496
3,9005,108639,102,368976
4,9006,108995,103,369424
5,9007,109351,104,369552
6,9008,109707,105,369504
7,9009,110063,106,369888
8,9010,110419,107,370176
9,9011,110775,108,370272
10,9012,111133,109,370464
11,9013,111491,110,370672
12,9014,111849,111,376016
13,9015,112207,112,379680
14,9016,112565,113,382080
15,9017,112923,114,384832
16,9018,113281,115,385952
17,9019,113639,116,388896
18,9020,113997,117,390192
19,9021,114355,118,395376
20,9022,114713,119,397504
21,9023,115071,120,398544
22,9024,115429,121,400432
23,9025,115787,122,402352
24,9026,116145,123,404208
25,9027,116503,124,405984
26,9028,116861,125,407776
27,9029,117219,126,409648
28,9030,117577,127,411472
29,9031,117935,128,413344
30,9032,118293,129,415216
31,9033,118651,130,417040
32,9034,119009,131,418864
33,9035,119367,132,420736
34,9036,119725,133,422592
35,9037,120083,134,424432
36,9038,120441,135,426272
37,9039,120799,136,428144
38,9040,121157,137,430016
39,9041,121515,138,432064
40,9042,121873,139,433968
41,9043,122231,140,435984
42,9044,122589,141,437872
43,9045,122947,142,439744
44,9046,123305,143,441600
45,9047,123663,144,443440
46,9048,124021,145,445248
47,9049,124379,146,447168
48,9050,124737,147,449040
49,9051,125095,148,450992
50,9052,125453,149,452720
51,9053,125811,150,454672
52,9054,126169,151,456528
53,9055,126527,152,458352
54,9056,126885,153,460240
55,9057,127243,154,462096
56,9058,127601,155,463968
57,9059,127959,156,465856
58,9060,128317,157,467744
59,9061,128675,158,469568
60,9062,129033,159,471456
61,9063,129391,160,473296
62,9064,129749,161,475120
63,9065,130107,162,477040
64,9066,130465,163,478848
65,9067,130823,164,480752
66,9068,131181,165,482608
67,9069,131539,166,484528
68,9070,131897,167,486736
69,9071,132255,168,488592
70,9072,132613,169,490480
71,9073,132971,170,492352
72,9074,133329,171,495456
73,9075,133687,172,497120
74,9076,134045,173,499088
75,9077,134403,174,501088
76,9078,134761,175,503040
77,9079,135119,176,505008
78,9080,135477,177,506960
79,9081,135835,178,508816
80,9082,136193,179,510640
81,9083,136551,180,512560
82,9084,136909,181,514480
83,9085,137267,182,516368
84,9086,137625,183,518336
85,9087,137983,184,520192
86,9088,138341,185,522112
87,9089,138699,186,524064
88,9090,139057,187,526000
89,9091,139415,188,527840
90,9092,139773,189,529728
91,9093,140131,190,531616
92,9094,140489,191,533504
93,9095,140847,192,535440
94,9096,141205,193,537376
95,9097,141563,194,539296
96,9098,141921,195,541296
97,9099,142279,196,543184
98,9100,142637,197,544992
99,9101,142995,198,546960
100,9102,143355,199,548896
