round,maxSeq,responseBytes,rows,serverRssKb
1,9003,107927,100,356224
2,9004,108283,101,358656
3,9005,108639,102,368672
4,9006,108995,103,374432
5,9007,109351,104,374768
6,9008,109707,105,374992
7,9009,110063,106,376944
8,9010,110419,107,377280
9,9011,110775,108,382912
10,9012,111133,109,385472
11,9013,111491,110,387632
12,9014,111849,111,390320
13,9015,112207,112,390256
14,9016,112565,113,390256
15,9017,112923,114,390640
16,9018,113281,115,391968
17,9019,113639,116,392240
18,9020,113997,117,392256
19,9021,114355,118,392320
20,9022,114713,119,392368
21,9023,115071,120,392400
22,9024,115429,121,392480
23,9025,115787,122,392576
24,9026,116145,123,393104
25,9027,116503,124,393360
26,9028,116861,125,394336
27,9029,117219,126,396016
28,9030,117577,127,399040
29,9031,117935,128,400608
30,9032,118293,129,402512
31,9033,118651,130,404368
32,9034,119009,131,406224
33,9035,119367,132,406480
34,9036,119725,133,406528
35,9037,120083,134,406544
36,9038,120441,135,406544
37,9039,120799,136,406576
38,9040,121157,137,406640
39,9041,121515,138,406672
40,9042,121873,139,406784
41,9043,122231,140,406784
42,9044,122589,141,406784
43,9045,122947,142,406784
44,9046,123305,143,406816
45,9047,123663,144,406816
46,9048,124021,145,406960
47,9049,124379,146,407072
48,9050,124737,147,407072
49,9051,125095,148,407088
50,9052,125453,149,407104
51,9053,125811,150,407056
52,9054,126169,151,407312
53,9055,126527,152,407312
54,9056,126885,153,407376
55,9057,127243,154,407376
56,9058,127601,155,407376
57,9059,127959,156,407376
58,9060,128317,157,407376
59,9061,128675,158,407376
60,9062,129033,159,407376
61,9063,129391,160,407408
62,9064,129749,161,407408
63,9065,130107,162,407408
64,9066,130465,163,407408
65,9067,130823,164,407504
66,9068,131181,165,407600
67,9069,131539,166,407600
68,9070,131897,167,407888
69,9071,132255,168,407648
70,9072,132613,169,407920
71,9073,132971,170,407936
72,9074,133329,171,407952
73,9075,133687,172,407952
74,9076,134045,173,407984
75,9077,134403,174,408016
76,9078,134761,175,408032
77,9079,135119,176,408032
78,9080,135477,177,408032
79,9081,135835,178,408032
80,9082,136193,179,408032
81,9083,136551,180,408032
82,9084,136909,181,408080
83,9085,137267,182,408096
84,9086,137625,183,408112
85,9087,137983,184,408224
86,9088,138341,185,408208
87,9089,138699,186,408016
88,9090,139057,187,408304
89,9091,139415,188,408288
90,9092,139773,189,408320
91,9093,140131,190,408320
92,9094,140489,191,408320
93,9095,140847,192,408352
94,9096,141205,193,408352
95,9097,141563,194,408352
96,9098,141921,195,408352
97,9099,142279,196,408368
98,9100,142637,197,408384
99,9101,142995,198,408400
100,9102,143355,199,408416
