round,maxSeq,responseBytes,rows,serverRssKb
1,9003,107927,100,350976
2,9004,108283,101,357184
3,9005,108639,102,365568
4,9006,108995,103,366624
5,9007,109351,104,367200
6,9008,109707,105,367440
7,9009,110063,106,377696
8,9010,110419,107,385792
9,9011,110775,108,386256
10,9012,111133,109,387408
11,9013,111491,110,387712
12,9014,111849,111,388576
13,9015,112207,112,390032
14,9016,112565,113,390432
15,9017,112923,114,390880
16,9018,113281,115,391696
17,9019,113639,116,392192
18,9020,113997,117,393408
19,9021,114355,118,396480
20,9022,114713,119,397840
21,9023,115071,120,398176
22,9024,115429,121,398784
23,9025,115787,122,399312
24,9026,116145,123,399600
25,9027,116503,124,400608
26,9028,116861,125,404672
27,9029,117219,126,405568
28,9030,117577,127,406016
29,9031,117935,128,406400
30,9032,118293,129,406864
31,9033,118651,130,407232
32,9034,119009,131,407664
33,9035,119367,132,408160
34,9036,119725,133,408544
35,9037,120083,134,409008
36,9038,120441,135,409440
37,9039,120799,136,409936
38,9040,121157,137,410336
39,9041,121515,138,410768
40,9042,121873,139,411296
41,9043,122231,140,411840
42,9044,122589,141,412320
43,9045,122947,142,412704
44,9046,123305,143,413136
45,9047,123663,144,413584
46,9048,124021,145,414080
47,9049,124379,146,414480
48,9050,124737,147,414960
49,9051,125095,148,415440
50,9052,125453,149,415856
51,9053,125811,150,416240
52,9054,126169,151,416688
53,9055,126527,152,417104
54,9056,126885,153,417584
55,9057,127243,154,417952
56,9058,127601,155,418416
57,9059,127959,156,418912
58,9060,128317,157,419312
59,9061,128675,158,419664
60,9062,129033,159,420128
61,9063,129391,160,420608
62,9064,129749,161,421008
63,9065,130107,162,421504
64,9066,130465,163,421952
65,9067,130823,164,422496
66,9068,131181,165,422880
67,9069,131539,166,416496
68,9070,131897,167,416768
69,9071,132255,168,416784
70,9072,132613,169,416784
71,9073,132971,170,416784
72,9074,133329,171,416784
73,9075,133687,172,416784
74,9076,134045,173,416832
75,9077,134403,174,416848
76,9078,134761,175,416848
77,9079,135119,176,416880
78,9080,135477,177,416880
79,9081,135835,178,416880
80,9082,136193,179,416928
81,9083,136551,180,417376
82,9084,136909,181,417392
83,9085,137267,182,417392
84,9086,137625,183,417552
85,9087,137983,184,417520
86,9088,138341,185,417520
87,9089,138699,186,417552
88,9090,139057,187,417552
89,9091,139415,188,417536
90,9092,139773,189,417536
91,9093,140131,190,417536
92,9094,140489,191,417536
93,9095,140847,192,417536
94,9096,141205,193,417536
95,9097,141563,194,417536
96,9098,141921,195,416624
97,9099,142279,196,416640
98,9100,142637,197,416720
99,9101,142995,198,416720
100,9102,143355,199,416720
