round,maxSeq,responseBytes,rows,serverRssKb
1,9003,107927,100,343680
2,9004,108283,101,351536
3,9005,108639,102,353264
4,9006,108995,103,360688
5,9007,109351,104,360672
6,9008,109707,105,361392
7,9009,110063,106,363440
8,9010,110419,107,364160
9,9011,110775,108,366976
10,9012,111133,109,367344
11,9013,111491,110,374032
12,9014,111849,111,377200
13,9015,112207,112,378832
14,9016,112565,113,380896
15,9017,112923,114,382720
16,9018,113281,115,385840
17,9019,113639,116,386912
18,9020,113997,117,393648
19,9021,114355,118,394144
20,9022,114713,119,395920
21,9023,115071,120,397664
22,9024,115429,121,399488
23,9025,115787,122,400512
24,9026,116145,123,400752
25,9027,116503,124,400784
26,9028,116861,125,400784
27,9029,117219,126,400784
28,9030,117577,127,400800
29,9031,117935,128,400816
30,9032,118293,129,400848
31,9033,118651,130,400864
32,9034,119009,131,400880
33,9035,119367,132,400896
34,9036,119725,133,400912
35,9037,120083,134,400960
36,9038,120441,135,400960
37,9039,120799,136,401040
38,9040,121157,137,400848
39,9041,121515,138,401104
40,9042,121873,139,401152
41,9043,122231,140,401152
42,9044,122589,141,401152
43,9045,122947,142,401184
44,9046,123305,143,401200
45,9047,123663,144,401200
46,9048,124021,145,401216
47,9049,124379,146,401216
48,9050,124737,147,401232
49,9051,125095,148,401232
50,9052,125453,149,401232
51,9053,125811,150,401232
52,9054,126169,151,401232
53,9055,126527,152,400976
54,9056,126885,153,401232
55,9057,127243,154,401248
56,9058,127601,155,401264
57,9059,127959,156,401264
58,9060,128317,157,401264
59,9061,128675,158,401264
60,9062,129033,159,401280
61,9063,129391,160,401296
62,9064,129749,161,401296
63,9065,130107,162,401296
64,9066,130465,163,401296
65,9067,130823,164,401312
66,9068,131181,165,401328
67,9069,131539,166,401360
68,9070,131897,167,401280
69,9071,132255,168,401552
70,9072,132613,169,401552
71,9073,132971,170,401584
72,9074,133329,171,401584
73,9075,133687,172,401584
74,9076,134045,173,401600
75,9077,134403,174,401600
76,9078,134761,175,401616
77,9079,135119,176,401728
78,9080,135477,177,401712
79,9081,135835,178,401744
80,9082,136193,179,401744
81,9083,136551,180,401888
82,9084,136909,181,401920
83,9085,137267,182,401920
84,9086,137625,183,401680
85,9087,137983,184,401968
86,9088,138341,185,401968
87,9089,138699,186,401968
88,9090,139057,187,401968
89,9091,139415,188,401952
90,9092,139773,189,401952
91,9093,140131,190,401952
92,9094,140489,191,401952
93,9095,140847,192,401952
94,9096,141205,193,401952
95,9097,141563,194,401952
96,9098,141921,195,401952
97,9099,142279,196,401952
98,9100,142637,197,401984
99,9101,142995,198,403024
100,9102,143355,199,404192
