round,maxSeq,responseBytes,rows,serverRssKb
1,9003,107927,100,358224
2,9004,108283,101,388992
3,9005,108639,102,391520
4,9006,108995,103,394576
5,9007,109351,104,395920
6,9008,109707,105,396560
7,9009,110063,106,399088
8,9010,110419,107,399664
9,9011,110775,108,401488
10,9012,111133,109,403072
11,9013,111491,110,404528
12,9014,111849,111,406496
13,9015,112207,112,408000
14,9016,112565,113,413728
15,9017,112923,114,415072
16,9018,113281,115,416848
17,9019,113639,116,420144
18,9020,113997,117,420784
19,9021,114355,118,424016
20,9022,114713,119,424768
21,9023,115071,120,430928
22,9024,115429,121,432752
23,9025,115787,122,433872
24,9026,116145,123,435808
25,9027,116503,124,437552
26,9028,116861,125,439360
27,9029,117219,126,441184
28,9030,117577,127,443056
29,9031,117935,128,444864
30,9032,118293,129,446784
31,9033,118651,130,448528
32,9034,119009,131,450368
33,9035,119367,132,452240
34,9036,119725,133,454032
35,9037,120083,134,455920
36,9038,120441,135,457760
37,9039,120799,136,459584
38,9040,121157,137,461456
39,9041,121515,138,463376
40,9042,121873,139,465472
41,9043,122231,140,467344
42,9044,122589,141,469152
43,9045,122947,142,471008
44,9046,123305,143,472880
45,9047,123663,144,474704
46,9048,124021,145,476480
47,9049,124379,146,478432
48,9050,124737,147,480288
49,9051,125095,148,482176
50,9052,125453,149,483984
51,9053,125811,150,485904
52,9054,126169,151,487792
53,9055,126527,152,489616
54,9056,126885,153,491488
55,9057,127243,154,493328
56,9058,127601,155,496400
57,9059,127959,156,498112
58,9060,128317,157,500016
59,9061,128675,158,501872
60,9062,129033,159,503712
61,9063,129391,160,505584
62,9064,129749,161,507456
63,9065,130107,162,509312
64,9066,130465,163,511248
65,9067,130823,164,513216
66,9068,131181,165,515136
67,9069,131539,166,516992
68,9070,131897,167,518864
69,9071,132255,168,520848
70,9072,132613,169,522720
71,9073,132971,170,524672
72,9074,133329,171,526512
73,9075,133687,172,528384
74,9076,134045,173,530288
75,9077,134403,174,532272
76,9078,134761,175,534144
77,9079,135119,176,536128
78,9080,135477,177,538016
79,9081,135835,178,539856
80,9082,136193,179,541744
81,9083,136551,180,543664
82,9084,136909,181,545616
83,9085,137267,182,547536
84,9086,137625,183,549424
85,9087,137983,184,551456
86,9088,138341,185,553328
87,9089,138699,186,555312
88,9090,139057,187,557200
89,9091,139415,188,559136
90,9092,139773,189,560976
91,9093,140131,190,562944
92,9094,140489,191,564816
93,9095,140847,192,566752
94,9096,141205,193,568672
95,9097,141563,194,570576
96,9098,141921,195,572416
97,9099,142279,196,574464
98,9100,142637,197,576320
99,9101,142995,198,578240
100,9102,143355,199,580128
